"Sequence week",zero
"Jan 02 (???)",0
"Jan 09 (???)",0
"Jan 16 (???)",0
"Jan 23 (???)",0
"Jan 30 (???)",0
"Feb 06 (???)",0
"Feb 13 (???)",0
"Feb 20 (???)",0
"Feb 27 (???)",0
"Mar 06 (???)",0
"Mar 13 (???)",0
"Mar 20 (???)",0
"Mar 27 (???)",0
"Apr 03 (???)",0
"Apr 10 (???)",0
"Apr 17 (???)",0
"Apr 24 (???)",0
"May 01 (???)",0
"May 08 (???)",0
"May 15 (???)",0
"May 22 (???)",0
"May 29 (???)",0
"Jun 05 (???)",0
"Jun 12 (???)",0
"Jun 19 (???)",0
"Jun 26 (???)",0
"Jul 03 (???)",0
"Jul 10 (???)",0
"Jul 17 (???)",0
"Jul 24 (???)",0
"Jul 31 (???)",0
"Aug 07 (???)",0
"Aug 14 (???)",0
"Aug 21 (???)",0
"Aug 28 (???)",0
"Sep 04 (???)",0
"Sep 11 (???)",0
